warehouse_id,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-N100160,North,1.08,2
WH-N100161,South,2.7,2
WH-N100162,East,1.09,3
WH-N100163,West,0.63,1
WH-S100164,North,1.43,3
WH-S100165,South,1.43,3
WH-S100166,East,2.42,2
WH-S100167,West,1.15,4
WH-E100168,North,2.33,2
WH-E100169,South,2.48,1
WH-E100170,East,2.63,1
WH-E100171,West,1.58,2
WH-W100172,North,0.52,4
WH-W100173,South,0.72,4
WH-W100174,East,1.39,1
WH-W100175,West,0.67,3
WH-C100176,North,1.55,2
WH-C100177,South,2.48,1
WH-C100178,East,0.98,3
WH-C100179,West,1.14,2
WH-N100180,North,1.08,2
WH-N100181,South,2.7,2
WH-N100182,East,1.09,3
WH-N100183,West,0.63,1
WH-S100184,North,1.43,3
WH-S100185,South,1.43,3
WH-S100186,East,2.42,2
WH-S100187,West,1.15,4
WH-E100188,North,2.33,2
WH-E100189,South,2.48,1
WH-E100190,East,2.63,1
WH-E100191,West,1.58,2
WH-W100192,North,0.52,4
WH-W100193,South,0.72,4
WH-W100194,East,1.39,1
WH-W100195,West,0.67,3
WH-C100196,North,1.55,2
WH-C100197,South,2.48,1
WH-C100198,East,0.98,3
WH-C100199,West,1.14,2
WH-N100200,North,1.08,2
WH-N100201,South,2.7,2
WH-N100202,East,1.09,3
WH-N100203,West,0.63,1
WH-S100204,North,1.43,3
WH-S100205,South,1.43,3
WH-S100206,East,2.42,2
WH-S100207,West,1.15,4
WH-E100208,North,2.33,2
WH-E100209,South,2.48,1
WH-E100210,East,2.63,1
WH-E100211,West,1.58,2
WH-W100212,North,0.52,4
WH-W100213,South,0.72,4
WH-W100214,East,1.39,1
WH-W100215,West,0.67,3
WH-C100216,North,1.55,2
WH-C100217,South,2.48,1
WH-C100218,East,0.98,3
WH-C100219,West,1.14,2
WH-N100220,North,1.08,2
WH-N100221,South,2.7,2
WH-N100222,East,1.09,3
WH-N100223,West,0.63,1
WH-S100224,North,1.43,3
WH-S100225,South,1.43,3
WH-S100226,East,2.42,2
WH-S100227,West,1.15,4
WH-E100228,North,2.33,2
WH-E100229,South,2.48,1
WH-E100230,East,2.63,1
WH-E100231,West,1.58,2
WH-W100232,North,0.52,4
WH-W100233,South,0.72,4
WH-W100234,East,1.39,1
WH-W100235,West,0.67,3
WH-C100236,North,1.55,2
WH-C100237,South,2.48,1
WH-C100238,East,0.98,3
WH-C100239,West,1.14,2
WH-N100240,North,1.08,2
WH-N100241,South,2.7,2
WH-N100242,East,1.09,3
WH-N100243,West,0.63,1
WH-S100244,North,1.43,3
WH-S100245,South,1.43,3
WH-S100246,East,2.42,2
WH-S100247,West,1.15,4
WH-E100248,North,2.33,2
WH-E100249,South,2.48,1
WH-E100250,East,2.63,1
WH-E100251,West,1.58,2
WH-W100252,North,0.52,4
WH-W100253,South,0.72,4
WH-W100254,East,1.39,1
WH-W100255,West,0.67,3
WH-C100256,North,1.55,2
WH-C100257,South,2.48,1
WH-C100258,East,0.98,3
WH-C100259,West,1.14,2
WH-N100260,North,1.08,2
WH-N100261,South,2.7,2
WH-N100262,East,1.09,3
WH-N100263,West,0.63,1
WH-S100264,North,1.43,3
WH-S100265,South,1.43,3
WH-S100266,East,2.42,2
WH-S100267,West,1.15,4
WH-E100268,North,2.33,2
WH-E100269,South,2.48,1
WH-E100270,East,2.63,1
WH-E100271,West,1.58,2
WH-W100272,North,0.52,4
WH-W100273,South,0.72,4
WH-W100274,East,1.39,1
WH-W100275,West,0.67,3
WH-C100276,North,1.55,2
WH-C100277,South,2.48,1
WH-C100278,East,0.98,3
WH-C100279,West,1.14,2
WH-N100280,North,1.08,2
WH-N100281,South,2.7,2
WH-N100282,East,1.09,3
WH-N100283,West,0.63,1
WH-S100284,North,1.43,3
WH-S100285,South,1.43,3
WH-S100286,East,2.42,2
WH-S100287,West,1.15,4
WH-E100288,North,2.33,2
WH-E100289,South,2.48,1
WH-E100290,East,2.63,1
WH-E100291,West,1.58,2
WH-W100292,North,0.52,4
WH-W100293,South,0.72,4
WH-W100294,East,1.39,1
WH-W100295,West,0.67,3
WH-C100296,North,1.55,2
WH-C100297,South,2.48,1
WH-C100298,East,0.98,3
WH-C100299,West,1.14,2
WH-N100300,North,1.08,2
WH-N100301,South,2.7,2
WH-N100302,East,1.09,3
WH-N100303,West,0.63,1
WH-S100304,North,1.43,3
WH-S100305,South,1.43,3
WH-S100306,East,2.42,2
WH-S100307,West,1.15,4
WH-E100308,North,2.33,2
WH-E100309,South,2.48,1
WH-E100310,East,2.63,1
WH-E100311,West,1.58,2
WH-W100312,North,0.52,4
WH-W100313,South,0.72,4
WH-W100314,East,1.39,1
WH-W100315,West,0.67,3
WH-C100316,North,1.55,2
WH-C100317,South,2.48,1
WH-C100318,East,0.98,3
WH-C100319,West,1.14,2
WH-N100320,North,1.08,2
WH-N100321,South,2.7,2
WH-N100322,East,1.09,3
WH-N100323,West,0.63,1
WH-S100324,North,1.43,3
WH-S100325,South,1.43,3
WH-S100326,East,2.42,2
WH-S100327,West,1.15,4
WH-E100328,North,2.33,2
WH-E100329,South,2.48,1
WH-E100330,East,2.63,1
WH-E100331,West,1.58,2
WH-W100332,North,0.52,4
WH-W100333,South,0.72,4
WH-W100334,East,1.39,1
WH-W100335,West,0.67,3
WH-C100336,North,1.55,2
WH-C100337,South,2.48,1
WH-C100338,East,0.98,3
WH-C100339,West,1.14,2
WH-N100340,North,1.08,2
WH-N100341,South,2.7,2
WH-N100342,East,1.09,3
WH-N100343,West,0.63,1
WH-S100344,North,1.43,3
WH-S100345,South,1.43,3
WH-S100346,East,2.42,2
WH-S100347,West,1.15,4
WH-E100348,North,2.33,2
WH-E100349,South,2.48,1
WH-E100350,East,2.63,1
WH-E100351,West,1.58,2
WH-W100352,North,0.52,4
WH-W100353,South,0.72,4
WH-W100354,East,1.39,1
WH-W100355,West,0.67,3
WH-C100356,North,1.55,2
WH-C100357,South,2.48,1
WH-C100358,East,0.98,3
WH-C100359,West,1.14,2
WH-N100360,North,1.08,2
WH-N100361,South,2.7,2
WH-N100362,East,1.09,3
WH-N100363,West,0.63,1
WH-S100364,North,1.43,3
WH-S100365,South,1.43,3
WH-S100366,East,2.42,2
WH-S100367,West,1.15,4
WH-E100368,North,2.33,2
WH-E100369,South,2.48,1
WH-E100370,East,2.63,1
WH-E100371,West,1.58,2
WH-W100372,North,0.52,4
WH-W100373,South,0.72,4
WH-W100374,East,1.39,1
WH-W100375,West,0.67,3
WH-C100376,North,1.55,2
WH-C100377,South,2.48,1
WH-C100378,East,0.98,3
WH-C100379,West,1.14,2
WH-N100380,North,1.08,2
WH-N100381,South,2.7,2
WH-N100382,East,1.09,3
WH-N100383,West,0.63,1
WH-S100384,North,1.43,3
WH-S100385,South,1.43,3
WH-S100386,East,2.42,2
WH-S100387,West,1.15,4
WH-E100388,North,2.33,2
WH-E100389,South,2.48,1
WH-E100390,East,2.63,1
WH-E100391,West,1.58,2
WH-W100392,North,0.52,4
WH-W100393,South,0.72,4
WH-W100394,East,1.39,1
WH-W100395,West,0.67,3
WH-C100396,North,1.55,2
WH-C100397,South,2.48,1
WH-C100398,East,0.98,3
WH-C100399,West,1.14,2
WH-N100400,North,1.08,2
WH-N100401,South,2.7,2
WH-N100402,East,1.09,3
WH-N100403,West,0.63,1
WH-S100404,North,1.43,3
WH-S100405,South,1.43,3
WH-S100406,East,2.42,2
WH-S100407,West,1.15,4
WH-E100408,North,2.33,2
WH-E100409,South,2.48,1
WH-E100410,East,2.63,1
WH-E100411,West,1.58,2
WH-W100412,North,0.52,4
WH-W100413,South,0.72,4
WH-W100414,East,1.39,1
WH-W100415,West,0.67,3
WH-C100416,North,1.55,2
WH-C100417,South,2.48,1
WH-C100418,East,0.98,3
WH-C100419,West,1.14,2
WH-N100420,North,1.08,2
WH-N100421,South,2.7,2
WH-N100422,East,1.09,3
WH-N100423,West,0.63,1
WH-S100424,North,1.43,3
WH-S100425,South,1.43,3
WH-S100426,East,2.42,2
WH-S100427,West,1.15,4
WH-E100428,North,2.33,2
WH-E100429,South,2.48,1
WH-E100430,East,2.63,1
WH-E100431,West,1.58,2
WH-W100432,North,0.52,4
WH-W100433,South,0.72,4
WH-W100434,East,1.39,1
WH-W100435,West,0.67,3
WH-C100436,North,1.55,2
WH-C100437,South,2.48,1
WH-C100438,East,0.98,3
WH-C100439,West,1.14,2
WH-N100440,North,1.08,2
WH-N100441,South,2.7,2
WH-N100442,East,1.09,3
WH-N100443,West,0.63,1
WH-S100444,North,1.43,3
WH-S100445,South,1.43,3
WH-S100446,East,2.42,2
WH-S100447,West,1.15,4
WH-E100448,North,2.33,2
WH-E100449,South,2.48,1
WH-E100450,East,2.63,1
WH-E100451,West,1.58,2
WH-W100452,North,0.52,4
WH-W100453,South,0.72,4
WH-W100454,East,1.39,1
WH-W100455,West,0.67,3
WH-C100456,North,1.55,2
WH-C100457,South,2.48,1
WH-C100458,East,0.98,3
WH-C100459,West,1.14,2
WH-N100460,North,1.08,2
WH-N100461,South,2.7,2
WH-N100462,East,1.09,3
WH-N100463,West,0.63,1
WH-S100464,North,1.43,3
WH-S100465,South,1.43,3
WH-S100466,East,2.42,2
WH-S100467,West,1.15,4
WH-E100468,North,2.33,2
WH-E100469,South,2.48,1
WH-E100470,East,2.63,1
WH-E100471,West,1.58,2
WH-W100472,North,0.52,4
WH-W100473,South,0.72,4
WH-W100474,East,1.39,1
WH-W100475,West,0.67,3
WH-C100476,North,1.55,2
WH-C100477,South,2.48,1
WH-C100478,East,0.98,3
WH-C100479,West,1.14,2
WH-N100480,North,1.08,2
WH-N100481,South,2.7,2
WH-N100482,East,1.09,3
WH-N100483,West,0.63,1
WH-S100484,North,1.43,3
WH-S100485,South,1.43,3
WH-S100486,East,2.42,2
WH-S100487,West,1.15,4
WH-E100488,North,2.33,2
WH-E100489,South,2.48,1
WH-E100490,East,2.63,1
WH-E100491,West,1.58,2
WH-W100492,North,0.52,4
WH-W100493,South,0.72,4
WH-W100494,East,1.39,1
WH-W100495,West,0.67,3
WH-C100496,North,1.55,2
WH-C100497,South,2.48,1
WH-C100498,East,0.98,3
WH-C100499,West,1.14,2
WH-N100500,North,1.08,2
WH-N100501,South,2.7,2
WH-N100502,East,1.09,3
WH-N100503,West,0.63,1
WH-S100504,North,1.43,3
WH-S100505,South,1.43,3
WH-S100506,East,2.42,2
WH-S100507,West,1.15,4
WH-E100508,North,2.33,2
WH-E100509,South,2.48,1
WH-E100510,East,2.63,1
WH-E100511,West,1.58,2
WH-W100512,North,0.52,4
WH-W100513,South,0.72,4
WH-W100514,East,1.39,1
WH-W100515,West,0.67,3
WH-C100516,North,1.55,2
WH-C100517,South,2.48,1
WH-C100518,East,0.98,3
WH-C100519,West,1.14,2
WH-N100520,North,1.08,2
WH-N100521,South,2.7,2
WH-N100522,East,1.09,3
WH-N100523,West,0.63,1
WH-S100524,North,1.43,3
WH-S100525,South,1.43,3
WH-S100526,East,2.42,2
WH-S100527,West,1.15,4
WH-E100528,North,2.33,2
WH-E100529,South,2.48,1
WH-E100530,East,2.63,1
WH-E100531,West,1.58,2
WH-W100532,North,0.52,4
WH-W100533,South,0.72,4
WH-W100534,East,1.39,1
WH-W100535,West,0.67,3
WH-C100536,North,1.55,2
WH-C100537,South,2.48,1
WH-C100538,East,0.98,3
WH-C100539,West,1.14,2
WH-N100540,North,1.08,2
WH-N100541,South,2.7,2
WH-N100542,East,1.09,3
WH-N100543,West,0.63,1
WH-S100544,North,1.43,3
WH-S100545,South,1.43,3
WH-S100546,East,2.42,2
WH-S100547,West,1.15,4
WH-E100548,North,2.33,2
WH-E100549,South,2.48,1
WH-E100550,East,2.63,1
WH-E100551,West,1.58,2
WH-W100552,North,0.52,4
WH-W100553,South,0.72,4
WH-W100554,East,1.39,1
WH-W100555,West,0.67,3
WH-C100556,North,1.55,2
WH-C100557,South,2.48,1
WH-C100558,East,0.98,3
WH-C100559,West,1.14,2
WH-N100560,North,1.08,2
WH-N100561,South,2.7,2
WH-N100562,East,1.09,3
WH-N100563,West,0.63,1
WH-S100564,North,1.43,3
WH-S100565,South,1.43,3
WH-S100566,East,2.42,2
WH-S100567,West,1.15,4
WH-E100568,North,2.33,2
WH-E100569,South,2.48,1
WH-E100570,East,2.63,1
WH-E100571,West,1.58,2
WH-W100572,North,0.52,4
WH-W100573,South,0.72,4
WH-W100574,East,1.39,1
WH-W100575,West,0.67,3
WH-C100576,North,1.55,2
WH-C100577,South,2.48,1
WH-C100578,East,0.98,3
WH-C100579,West,1.14,2
WH-N100580,North,1.08,2
WH-N100581,South,2.7,2
WH-N100582,East,1.09,3
WH-N100583,West,0.63,1
WH-S100584,North,1.43,3
WH-S100585,South,1.43,3
WH-S100586,East,2.42,2
WH-S100587,West,1.15,4
WH-E100588,North,2.33,2
WH-E100589,South,2.48,1
WH-E100590,East,2.63,1
WH-E100591,West,1.58,2
WH-W100592,North,0.52,4
WH-W100593,South,0.72,4
WH-W100594,East,1.39,1
WH-W100595,West,0.67,3
WH-C100596,North,1.55,2
WH-C100597,South,2.48,1
WH-C100598,East,0.98,3
WH-C100599,West,1.14,2
WH-N100600,North,1.08,2
WH-N100601,South,2.7,2
WH-N100602,East,1.09,3
WH-N100603,West,0.63,1
WH-S100604,North,1.43,3
WH-S100605,South,1.43,3
WH-S100606,East,2.42,2
WH-S100607,West,1.15,4
WH-E100608,North,2.33,2
WH-E100609,South,2.48,1
WH-E100610,East,2.63,1
WH-E100611,West,1.58,2
WH-W100612,North,0.52,4
WH-W100613,South,0.72,4
WH-W100614,East,1.39,1
WH-W100615,West,0.67,3
WH-C100616,North,1.55,2
WH-C100617,South,2.48,1
WH-C100618,East,0.98,3
WH-C100619,West,1.14,2
WH-N100620,North,1.08,2
WH-N100621,South,2.7,2
WH-N100622,East,1.09,3
WH-N100623,West,0.63,1
WH-S100624,North,1.43,3
WH-S100625,South,1.43,3
WH-S100626,East,2.42,2
WH-S100627,West,1.15,4
WH-E100628,North,2.33,2
WH-E100629,South,2.48,1
WH-E100630,East,2.63,1
WH-E100631,West,1.58,2
WH-W100632,North,0.52,4
WH-W100633,South,0.72,4
WH-W100634,East,1.39,1
WH-W100635,West,0.67,3
WH-C100636,North,1.55,2
WH-C100637,South,2.48,1
WH-C100638,East,0.98,3
WH-C100639,West,1.14,2
WH-N100640,North,1.08,2
WH-N100641,South,2.7,2
WH-N100642,East,1.09,3
WH-N100643,West,0.63,1
WH-S100644,North,1.43,3
WH-S100645,South,1.43,3
WH-S100646,East,2.42,2
WH-S100647,West,1.15,4
WH-E100648,North,2.33,2
WH-E100649,South,2.48,1
WH-E100650,East,2.63,1
WH-E100651,West,1.58,2
WH-W100652,North,0.52,4
WH-W100653,South,0.72,4
WH-W100654,East,1.39,1
WH-W100655,West,0.67,3
WH-C100656,North,1.55,2
WH-C100657,South,2.48,1
WH-C100658,East,0.98,3
WH-C100659,West,1.14,2
WH-N100660,North,1.08,2
WH-N100661,South,2.7,2
WH-N100662,East,1.09,3
WH-N100663,West,0.63,1
WH-S100664,North,1.43,3
WH-S100665,South,1.43,3
WH-S100666,East,2.42,2
WH-S100667,West,1.15,4
WH-E100668,North,2.33,2
WH-E100669,South,2.48,1
WH-E100670,East,2.63,1
WH-E100671,West,1.58,2
WH-W100672,North,0.52,4
WH-W100673,South,0.72,4
WH-W100674,East,1.39,1
WH-W100675,West,0.67,3
WH-C100676,North,1.55,2
WH-C100677,South,2.48,1
WH-C100678,East,0.98,3
WH-C100679,West,1.14,2
WH-N100680,North,1.08,2
WH-N100681,South,2.7,2
WH-N100682,East,1.09,3
WH-N100683,West,0.63,1
WH-S100684,North,1.43,3
WH-S100685,South,1.43,3
WH-S100686,East,2.42,2
WH-S100687,West,1.15,4
WH-E100688,North,2.33,2
WH-E100689,South,2.48,1
WH-E100690,East,2.63,1
WH-E100691,West,1.58,2
WH-W100692,North,0.52,4
WH-W100693,South,0.72,4
WH-W100694,East,1.39,1
WH-W100695,West,0.67,3
WH-C100696,North,1.55,2
WH-C100697,South,2.48,1
WH-C100698,East,0.98,3
WH-C100699,West,1.14,2
WH-N100700,North,1.08,2
WH-N100701,South,2.7,2
WH-N100702,East,1.09,3
WH-N100703,West,0.63,1
WH-S100704,North,1.43,3
WH-S100705,South,1.43,3
WH-S100706,East,2.42,2
WH-S100707,West,1.15,4
WH-E100708,North,2.33,2
WH-E100709,South,2.48,1
WH-E100710,East,2.63,1
WH-E100711,West,1.58,2
WH-W100712,North,0.52,4
WH-W100713,South,0.72,4
WH-W100714,East,1.39,1
WH-W100715,West,0.67,3
WH-C100716,North,1.55,2
WH-C100717,South,2.48,1
WH-C100718,East,0.98,3
WH-C100719,West,1.14,2
WH-N100720,North,1.08,2
WH-N100721,South,2.7,2
WH-N100722,East,1.09,3
WH-N100723,West,0.63,1
WH-S100724,North,1.43,3
WH-S100725,South,1.43,3
WH-S100726,East,2.42,2
WH-S100727,West,1.15,4
WH-E100728,North,2.33,2
WH-E100729,South,2.48,1
WH-E100730,East,2.63,1
WH-E100731,West,1.58,2
WH-W100732,North,0.52,4
WH-W100733,South,0.72,4
WH-W100734,East,1.39,1
WH-W100735,West,0.67,3
WH-C100736,North,1.55,2
WH-C100737,South,2.48,1
WH-C100738,East,0.98,3
WH-C100739,West,1.14,2
WH-N100740,North,1.08,2
WH-N100741,South,2.7,2
WH-N100742,East,1.09,3
WH-N100743,West,0.63,1
WH-S100744,North,1.43,3
WH-S100745,South,1.43,3
WH-S100746,East,2.42,2
WH-S100747,West,1.15,4
WH-E100748,North,2.33,2
WH-E100749,South,2.48,1
WH-E100750,East,2.63,1
WH-E100751,West,1.58,2
WH-W100752,North,0.52,4
WH-W100753,South,0.72,4
WH-W100754,East,1.39,1
WH-W100755,West,0.67,3
WH-C100756,North,1.55,2
WH-C100757,South,2.48,1
WH-C100758,East,0.98,3
WH-C100759,West,1.14,2
WH-N100760,North,1.08,2
WH-N100761,South,2.7,2
WH-N100762,East,1.09,3
WH-N100763,West,0.63,1
WH-S100764,North,1.43,3
WH-S100765,South,1.43,3
WH-S100766,East,2.42,2
WH-S100767,West,1.15,4
WH-E100768,North,2.33,2
WH-E100769,South,2.48,1
WH-E100770,East,2.63,1
WH-E100771,West,1.58,2
WH-W100772,North,0.52,4
WH-W100773,South,0.72,4
WH-W100774,East,1.39,1
WH-W100775,West,0.67,3
WH-C100776,North,1.55,2
WH-C100777,South,2.48,1
WH-C100778,East,0.98,3
WH-C100779,West,1.14,2
WH-N100780,North,1.08,2
WH-N100781,South,2.7,2
WH-N100782,East,1.09,3
WH-N100783,West,0.63,1
WH-S100784,North,1.43,3
WH-S100785,South,1.43,3
WH-S100786,East,2.42,2
WH-S100787,West,1.15,4
WH-E100788,North,2.33,2
WH-E100789,South,2.48,1
WH-E100790,East,2.63,1
WH-E100791,West,1.58,2
WH-W100792,North,0.52,4
WH-W100793,South,0.72,4
WH-W100794,East,1.39,1
WH-W100795,West,0.67,3
WH-C100796,North,1.55,2
WH-C100797,South,2.48,1
WH-C100798,East,0.98,3
WH-C100799,West,1.14,2
WH-N100800,North,1.08,2
WH-N100801,South,2.7,2
WH-N100802,East,1.09,3
WH-N100803,West,0.63,1
WH-S100804,North,1.43,3
WH-S100805,South,1.43,3
WH-S100806,East,2.42,2
WH-S100807,West,1.15,4
WH-E100808,North,2.33,2
WH-E100809,South,2.48,1
WH-E100810,East,2.63,1
WH-E100811,West,1.58,2
WH-W100812,North,0.52,4
WH-W100813,South,0.72,4
WH-W100814,East,1.39,1
WH-W100815,West,0.67,3
WH-C100816,North,1.55,2
WH-C100817,South,2.48,1
WH-C100818,East,0.98,3
WH-C100819,West,1.14,2
WH-N100820,North,1.08,2
WH-N100821,South,2.7,2
WH-N100822,East,1.09,3
WH-N100823,West,0.63,1
WH-S100824,North,1.43,3
WH-S100825,South,1.43,3
WH-S100826,East,2.42,2
WH-S100827,West,1.15,4
WH-E100828,North,2.33,2
WH-E100829,South,2.48,1
WH-E100830,East,2.63,1
WH-E100831,West,1.58,2
WH-W100832,North,0.52,4
WH-W100833,South,0.72,4
WH-W100834,East,1.39,1
WH-W100835,West,0.67,3
WH-C100836,North,1.55,2
WH-C100837,South,2.48,1
WH-C100838,East,0.98,3
WH-C100839,West,1.14,2
WH-N100840,North,1.08,2
WH-N100841,South,2.7,2
WH-N100842,East,1.09,3
WH-N100843,West,0.63,1
WH-S100844,North,1.43,3
WH-S100845,South,1.43,3
WH-S100846,East,2.42,2
WH-S100847,West,1.15,4
WH-E100848,North,2.33,2
WH-E100849,South,2.48,1
WH-E100850,East,2.63,1
WH-E100851,West,1.58,2
WH-W100852,North,0.52,4
WH-W100853,South,0.72,4
WH-W100854,East,1.39,1
WH-W100855,West,0.67,3
WH-C100856,North,1.55,2
WH-C100857,South,2.48,1
WH-C100858,East,0.98,3
WH-C100859,West,1.14,2
WH-N100860,North,1.08,2
WH-N100861,South,2.7,2
WH-N100862,East,1.09,3
WH-N100863,West,0.63,1
WH-S100864,North,1.43,3
WH-S100865,South,1.43,3
WH-S100866,East,2.42,2
WH-S100867,West,1.15,4
WH-E100868,North,2.33,2
WH-E100869,South,2.48,1
WH-E100870,East,2.63,1
WH-E100871,West,1.58,2
WH-W100872,North,0.52,4
WH-W100873,South,0.72,4
WH-W100874,East,1.39,1
WH-W100875,West,0.67,3
WH-C100876,North,1.55,2
WH-C100877,South,2.48,1
WH-C100878,East,0.98,3
WH-C100879,West,1.14,2
WH-N100880,North,1.08,2
WH-N100881,South,2.7,2
WH-N100882,East,1.09,3
WH-N100883,West,0.63,1
WH-S100884,North,1.43,3
WH-S100885,South,1.43,3
WH-S100886,East,2.42,2
WH-S100887,West,1.15,4
WH-E100888,North,2.33,2
WH-E100889,South,2.48,1
WH-E100890,East,2.63,1
WH-E100891,West,1.58,2
WH-W100892,North,0.52,4
WH-W100893,South,0.72,4
WH-W100894,East,1.39,1
WH-W100895,West,0.67,3
WH-C100896,North,1.55,2
WH-C100897,South,2.48,1
WH-C100898,East,0.98,3
WH-C100899,West,1.14,2
WH-N100900,North,1.08,2
WH-N100901,South,2.7,2
WH-N100902,East,1.09,3
WH-N100903,West,0.63,1
WH-S100904,North,1.43,3
WH-S100905,South,1.43,3
WH-S100906,East,2.42,2
WH-S100907,West,1.15,4
WH-E100908,North,2.33,2
WH-E100909,South,2.48,1
WH-E100910,East,2.63,1
WH-E100911,West,1.58,2
WH-W100912,North,0.52,4
WH-W100913,South,0.72,4
WH-W100914,East,1.39,1
WH-W100915,West,0.67,3
WH-C100916,North,1.55,2
WH-C100917,South,2.48,1
WH-C100918,East,0.98,3
WH-C100919,West,1.14,2
WH-N100920,North,1.08,2
WH-N100921,South,2.7,2
WH-N100922,East,1.09,3
WH-N100923,West,0.63,1
WH-S100924,North,1.43,3
WH-S100925,South,1.43,3
WH-S100926,East,2.42,2
WH-S100927,West,1.15,4
